Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2024-02-06 09:30:00-05:00,69.63,69.75,67.38,67.93,20596167.0,0.0,0.0,,,,,0.0,0.0,,10.0
2024-02-06 10:30:00-05:00,67.93,68.39,67.42,67.96,7715868.0,0.0,0.0,0.05,,,,0.0,0.0,,10.0
2024-02-06 11:30:00-05:00,67.97,68.03,66.3,66.84,10702101.0,0.0,0.0,-1.65,67.58,0.64,13004712.0,0.0,1.0,1.0,9.0
2024-02-06 12:30:00-05:00,66.84,67.13,66.5,66.93,6537650.0,0.0,0.0,0.14,67.25,0.62,8318539.67,0.0,0.0,1.0,10.0
2024-02-06 13:30:00-05:00,66.94,67.67,66.93,67.53,7512084.0,0.0,0.0,0.89,67.1,0.37,8250611.67,0.0,0.0,1.0,10.0
2024-02-06 14:30:00-05:00,67.55,68.47,67.53,68.16,8455480.0,0.0,0.0,0.92,67.54,0.61,7501738.0,0.0,0.0,0.0,10.0
2024-02-06 15:30:00-05:00,68.16,68.41,67.81,68.22,4789079.0,0.0,0.0,0.09,67.97,0.38,6918881.0,0.0,0.0,0.0,10.0
2024-02-07 09:30:00-05:00,68.32,69.43,67.6,69.28,15071810.0,0.0,0.0,1.55,68.55,0.63,9438789.67,0.0,0.0,0.0,9.0
2024-02-07 10:30:00-05:00,69.27,69.5,68.62,68.85,7008373.0,0.0,0.0,-0.61,68.78,0.53,8956420.67,0.0,1.0,1.0,10.0
2024-02-07 11:30:00-05:00,68.86,69.4,68.8,69.16,4508981.0,0.0,0.0,0.44,69.1,0.22,8863054.67,0.0,0.0,1.0,10.0
2024-02-07 12:30:00-05:00,69.15,69.5,68.91,69.45,4371427.0,0.0,0.0,0.43,69.15,0.3,5296260.33,0.0,0.0,1.0,10.0
2024-02-07 13:30:00-05:00,69.46,69.57,69.28,69.4,3656838.0,0.0,0.0,-0.08,69.34,0.16,4179082.0,0.0,1.0,1.0,10.0
2024-02-07 14:30:00-05:00,69.41,70.2,69.35,70.18,6697421.0,0.0,0.0,1.12,69.68,0.43,4908562.0,0.0,0.0,1.0,9.0
2024-02-07 15:30:00-05:00,70.18,70.22,69.94,70.12,4395767.0,0.0,0.0,-0.09,69.9,0.43,4916675.33,0.0,1.0,2.0,10.0
2024-02-08 09:30:00-05:00,70.07,70.79,69.46,69.85,13273144.0,0.0,0.0,-0.37,70.05,0.17,8122110.67,0.0,1.0,2.0,10.0
2024-02-08 10:30:00-05:00,69.85,70.61,69.67,70.37,7392905.0,0.0,0.0,0.74,70.11,0.26,8353938.67,0.0,0.0,2.0,10.0
2024-02-08 11:30:00-05:00,70.38,70.57,70.11,70.27,4057925.0,0.0,0.0,-0.15,70.16,0.27,8241324.67,0.0,1.0,2.0,10.0
2024-02-08 12:30:00-05:00,70.26,70.44,69.97,70.44,3602736.0,0.0,0.0,0.25,70.36,0.09,5017855.33,0.0,0.0,1.0,10.0
2024-02-08 13:30:00-05:00,70.44,70.65,69.95,69.96,3836559.0,0.0,0.0,-0.68,70.22,0.24,3832406.67,0.0,1.0,2.0,10.0
2024-02-08 14:30:00-05:00,69.96,70.08,69.71,69.9,3694404.0,0.0,0.0,-0.09,70.1,0.3,3711233.0,0.0,1.0,2.0,10.0
2024-02-08 15:30:00-05:00,69.9,70.0,69.56,69.64,3041024.0,0.0,0.0,-0.37,69.83,0.17,3523995.67,0.0,1.0,3.0,8.0
2024-02-09 09:30:00-05:00,70.53,71.25,70.21,71.12,13036372.0,0.0,0.0,2.12,70.22,0.79,6590600.0,0.0,0.0,2.0,9.0
2024-02-09 10:30:00-05:00,71.11,71.81,70.98,71.43,7560127.0,0.0,0.0,0.45,70.73,0.96,7879174.33,0.0,0.0,1.0,10.0
2024-02-09 11:30:00-05:00,71.45,71.72,71.27,71.64,4171127.0,0.0,0.0,0.28,71.4,0.26,8255875.33,0.0,0.0,0.0,10.0
2024-02-09 12:30:00-05:00,71.64,71.8,71.53,71.77,3221056.0,0.0,0.0,0.19,71.61,0.17,4984103.33,0.0,0.0,0.0,10.0
2024-02-09 13:30:00-05:00,71.78,72.06,71.71,71.96,4905651.0,0.0,0.0,0.26,71.79,0.16,4099278.0,0.0,0.0,0.0,10.0
2024-02-09 14:30:00-05:00,71.95,72.03,71.77,71.93,4033769.0,0.0,0.0,-0.03,71.89,0.1,4053492.0,0.0,1.0,1.0,10.0
